rule_id,jurisdiction,framework,authority,source_id,official_document,citation,paragraph,content_area,requirement_type,requirement_title,requirement_summary,entity_type,applicability_condition,applicability_condition_machine,required_action,required_data,required_evidence,reporting_period_rule,deadline_rule,assurance_requirement,transition_relief,concept_layer,international_standard_version,taiwan_recognised_version,international_effective_date,taiwan_recognition_date,taiwan_status,publication_date,source_version,rule_effective_from,rule_effective_to,rule_status,supersedes_rule_id,superseded_by_rule_id,last_verified_at,product_support_status,verification_status,version,notes
tw_ar_not_securities_or_fcm_family,TW,TW_IFRS_S1_S2,FSC,src_tw_annual_report_rules_fl007032,公開發行公司年報應行記載事項準則,體系邊界說明,,Applicability,entity_family_boundary,Securities firms and FCMs are not under FL007032 family,Securities firms use FL007040 Art.32-1 + Orders 11403856095/56094; FCMs use FL021990 Art.34-1 + Orders 11403856096/56094.,other,securities_firm or futures_commission_merchant,"entity_type in {securities_firm,futures_commission_merchant} => use_dedicated_family=true",Select dedicated family,entity_type,license type,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-12-26,3A.2_boundary,2025-12-26,,ACTIVE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,PREVIOUS STATUS: securities mapped to FL007032. NEW STATUS: dedicated families. SOURCE THAT RESOLVED IT: FL007040/FL021990 + 56094/56095/56096. DATE VERIFIED: 2026-08-12.
tw_order_51756_phase1_ge_10bn,TW,TW_IFRS_S1_S2,FSC,src_tw_order_11403851756,金管證審字第11403851756號令,令第二(一)點,二(一),Applicability,phased_applicability,Phase I >= NT$10bn: FY2026 / file 2027,Phase I >= NT$10bn: FY2026 / file 2027.,general_listed_company|general_otc_company,General listed/OTC capital band,"entity_type in {general_listed_company,general_otc_company} AND paid_in_capital_twd >= 10000000000",Apply/file per schedule,capital/net worth,filed AR,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-12,11403851756,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_order_51756_phase2_5_to_10bn,TW,TW_IFRS_S1_S2,FSC,src_tw_order_11403851756,金管證審字第11403851756號令,令第二(二)點,二(二),Applicability,phased_applicability,Phase II >= NT$5bn < NT$10bn: FY2027 / file 2028,Phase II >= NT$5bn < NT$10bn: FY2027 / file 2028.,general_listed_company|general_otc_company,General listed/OTC capital band,"entity_type in {general_listed_company,general_otc_company} AND 5000000000 <= paid_in_capital_twd < 10000000000",Apply/file per schedule,capital/net worth,filed AR,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-12,11403851756,2027-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_order_51756_phase3_lt_5bn,TW,TW_IFRS_S1_S2,FSC,src_tw_order_11403851756,金管證審字第11403851756號令,令第二(三)點,二(三),Applicability,phased_applicability,Phase III < NT$5bn: FY2028 / file 2029,Phase III < NT$5bn: FY2028 / file 2029.,general_listed_company|general_otc_company,General listed/OTC capital band,"entity_type in {general_listed_company,general_otc_company} AND paid_in_capital_twd < 5000000000",Apply/file per schedule,capital/net worth,filed AR,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-12,11403851756,2028-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_order_51756_early_adoption,TW,TW_IFRS_S1_S2,FSC,src_tw_order_11403851756,金管證審字第11403851756號令,令第3點,3,Applicability,early_adoption,Early adoption permitted,Early adoption permitted.,general_listed_company|general_otc_company,Early adoption permitted,early_adopt=true,Early adoption permitted,as applicable,filings,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-12,11403851756,2025-11-12,,ACTIVE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_order_51756_replace_prior_climate_table,TW,TW_IFRS_S1_S2,FSC,src_tw_order_11403851756,金管證審字第11403851756號令,令第4點,4,Transition,supersession,Prior climate table replaced after adoption,Prior climate table replaced after adoption.,general_listed_company|general_otc_company,Prior climate table replaced after adoption,tw_ifrs_sustainability_applied=true,Prior climate table replaced after adoption,as applicable,filings,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-12,11403851756,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_order_51756_scope12_consolidated_assurance,TW,TW_IFRS_S1_S2,FSC,src_tw_order_11403851756,金管證審字第11403851756號令,令第4點,4,Assurance / GHG,assurance,Consolidated Scope 1/2 independent assurance,Consolidated Scope 1/2 independent assurance.,general_listed_company|general_otc_company,Consolidated Scope 1/2 independent assurance,tw_ifrs_sustainability_applied=true,Consolidated Scope 1/2 independent assurance,as applicable,filings,,,independent_third_party_assurance_scope1_scope2_consolidated,,TAIWAN_ADOPTION,,,,,N/A,2025-11-12,11403851756,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_order_51756_assurance_october_mops_fallback,TW,TW_IFRS_S1_S2,FSC,src_tw_order_11403851756,金管證審字第11403851756號令,令第4點,4,Assurance / Filing,deadline,October MOPS fallback if assurance late,October MOPS fallback if assurance late.,general_listed_company|general_otc_company,October MOPS fallback if assurance late,assurance_ready_at_ar_filing=false,October MOPS fallback if assurance late,as applicable,filings,,same_year_october_31_mops,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-12,11403851756,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_order_51756_assurance_difference_correction,TW,TW_IFRS_S1_S2,FSC,src_tw_order_11403851756,金管證審字第11403851756號令,令第4點,4,Assurance / Correction,correction,Correct filings when assured figures differ,Correct filings when assured figures differ.,general_listed_company|general_otc_company,Correct filings when assured figures differ,assured_ghg != ar_ghg,Correct filings when assured figures differ,as applicable,filings,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-12,11403851756,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_order_51756_material_difference_board_reapproval,TW,TW_IFRS_S1_S2,FSC,src_tw_order_11403851756,金管證審字第11403851756號令,令第4點,4,Governance / Assurance,board_approval,Material differences require board re-approval,Material differences require board re-approval.,general_listed_company|general_otc_company,Material differences require board re-approval,ghg_difference_material=true,Material differences require board re-approval,as applicable,filings,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-12,11403851756,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_order_51756_assurance_provider_qualification,TW,TW_IFRS_S1_S2,FSC,src_tw_order_11403851756,金管證審字第11403851756號令,令第5點,5,Assurance,assurance_provider,Assurance providers must meet TWSE/TPEx rules,Assurance providers must meet TWSE/TPEx rules.,general_listed_company|general_otc_company,Assurance providers must meet TWSE/TPEx rules,engages_ghg_assurance=true,Assurance providers must meet TWSE/TPEx rules,as applicable,filings,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-12,11403851756,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_order_51756_scope3_from_fourth_year,TW,TW_IFRS_S1_S2,FSC,src_tw_order_11403851756,金管證審字第11403851756號令,令第6點,6,GHG transition,transition_relief,Scope 3 from fourth FY after first application,Scope 3 from fourth FY after first application.,general_listed_company|general_otc_company,Scope 3 from fourth FY after first application,years_since_first_tw_ifrs_application >= 4,Scope 3 from fourth FY after first application,as applicable,filings,,,,scope3_starts_fourth_financial_year_after_first_application,TAIWAN_ADOPTION,,,,,N/A,2025-11-12,11403851756,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_order_51756_net_worth_substitute_thresholds,TW,TW_IFRS_S1_S2,FSC,src_tw_order_11403851756,金管證審字第11403851756號令,令第7點,7,Applicability,threshold_substitute,Net-worth substitutes for no-par / non-NT$10,Net-worth substitutes for no-par / non-NT$10.,general_listed_company|general_otc_company,Net-worth substitutes for no-par / non-NT$10,"share_par in {no_par, not_10}",Net-worth substitutes for no-par / non-NT$10,as applicable,filings,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-12,11403851756,2025-11-12,,ACTIVE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_order_51755_recognised_ifrs_version_locus,TW,TW_IFRS_S1_S2,FSC,src_tw_order_11403851755,金管證審字第11403851755號令,令第二點,2,Taiwan-recognised version,version_recognition,Taiwan-recognised IFRS = SFB download-area versions,Recognised standards are those announced in the SFB IFRS download area — distinct from the latest IFRS Foundation publication.,general_listed_company|general_otc_company,General-company Taiwan disclosures,"entity_type in {general_listed_company,general_otc_company}",Use Taiwan-recognised version,recognised version id,SFB recognition notice,,,,,TAIWAN_ADOPTION,IFRS_Foundation_latest_not_automatically_applicable,SFB_IFRS_download_area_announced_recognised_version,,2025-11-12,RECOGNISED_VIA_ORDER_11403851755,2025-11-12,11403851755,2025-11-12,,ACTIVE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_order_51756_not_covering_securities_or_fcm,TW,TW_IFRS_S1_S2,FSC,src_tw_order_11403851756,金管證審字第11403851756號令,令文適用對象,2,Applicability,coverage_boundary,Order 51756 does not cover securities firms / FCMs,"After full review, securities firms and FCMs are outside this general-company order and use dedicated orders 56095/56096.",securities_firm|futures_commission_merchant,securities_firm or FCM,"entity_type in {securities_firm,futures_commission_merchant}",Use dedicated orders,entity_type,license,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-12,11403851756,2025-11-12,,ACTIVE,,,2026-08-12,IN_V1_SCOPE,NOT_COVERED_BY_CURRENT_ORDER,3A.2,Legal silence relative to this order — not research failure.
tw_ifrs_phase1_capital_10bn_news_legacy,TW,TW_IFRS_S1_S2,FSC,src_tw_sfb_press_20251028,SFB press 2025-10-28,press (historical),,Applicability,legacy_explanatory,LEGACY news Phase I,Historical news-based record retained for audit.,general_listed_company|general_otc_company,n/a,deprecated=true,Use formal order,,,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-10-28,press,,2025-11-12,SUPERSEDED,,tw_order_51756_phase1_ge_10bn,2026-08-12,IN_V1_SCOPE,SUPERSEDED,3A.2,
tw_scope3_transition_first_three_years_news_legacy,TW,TW_IFRS_S1_S2,FSC,src_tw_sfb_press_20251028,SFB press 2025-10-28,press (historical),,Applicability,legacy_explanatory,LEGACY news Scope3,Historical news-based record retained for audit.,general_listed_company|general_otc_company,n/a,deprecated=true,Use formal order,,,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-10-28,press,,2025-11-12,SUPERSEDED,,tw_order_51756_scope3_from_fourth_year,2026-08-12,IN_V1_SCOPE,SUPERSEDED,3A.2,
tw_securities_firm_uses_general_ar_if_public_company,TW,TW_IFRS_S1_S2,FSC,src_tw_annual_report_rules_fl007032,公開發行公司年報應行記載事項準則,第2條（3A.1 incorrect mapping）,Art.2,Applicability,entity_family_boundary,SUPERSEDED incorrect securities mapping to FL007032,Stage 3A.1 incorrectly mapped securities firms to FL007032. Correct family is FL007040 Art.32-1 + Order 11403856095.,securities_firm,n/a — superseded,deprecated=true,Use securities_firm family,entity_type,,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-07,3A.1_incorrect,,2025-12-26,SUPERSEDED,,tw_sf_art32_1_family,2026-08-12,IN_V1_SCOPE,SUPERSEDED,3A.2,PREVIOUS STATUS: VERIFIED_AUTHORITATIVE (incorrect family). NEW STATUS: SUPERSEDED. SOURCE THAT RESOLVED IT: FL007040 Art.32-1 + 11403856095/56094. DATE VERIFIED: 2026-08-12.
tw_fi_fhc_apply_fy2026,TW,TW_IFRS_S1_S2_FI,FSC,src_tw_order_11402739247_fi,金管銀法字第11402739247號令,令第二點(一),2(1),Applicability,phased_applicability,FHC: FY2026 apply / file from 2027,FHC: FY2026 apply / file from 2027.,financial_holding_company,FHC: FY2026 apply / file from 2027,entity_type==financial_holding_company,FHC: FY2026 apply / file from 2027,entity_type,filings,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-12-16,FI_2025-12,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_fi_bank_listed_or_fhc_sub_fy2026,TW,TW_IFRS_S1_S2_FI,FSC,src_tw_order_11402739247_fi,金管銀法字第11402739247號令,令第二點(二),2(2),Applicability,phased_applicability,Listed/OTC or FHC-sub banks: FY2026,Listed/OTC or FHC-sub banks: FY2026.,bank,Listed/OTC or FHC-sub banks: FY2026,"entity_type==bank AND (listing in {TWSE,TPEx} OR is_fhc_subsidiary=true)",Listed/OTC or FHC-sub banks: FY2026,entity_type,filings,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-12-16,FI_2025-12,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_fi_bank_nonlisted_non_fhc_sub_fy2027,TW,TW_IFRS_S1_S2_FI,FSC,src_tw_order_11402739247_fi,金管銀法字第11402739247號令,令第二點(三),2(3),Applicability,phased_applicability,Non-listed non-FHC-sub banks: FY2027,Non-listed non-FHC-sub banks: FY2027.,bank,Non-listed non-FHC-sub banks: FY2027,"entity_type==bank AND listing not in {TWSE,TPEx} AND is_fhc_subsidiary=false",Non-listed non-FHC-sub banks: FY2027,entity_type,filings,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-12-16,FI_2025-12,2027-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_fi_bills_listed_or_fhc_sub_fy2026,TW,TW_IFRS_S1_S2_FI,FSC,src_tw_order_11402739247_fi,金管銀法字第11402739247號令,令第二點(二),2(2),Applicability,phased_applicability,Listed or FHC-sub bills: FY2026,Listed or FHC-sub bills: FY2026.,bills_finance_company,Listed or FHC-sub bills: FY2026,entity_type==bills_finance_company AND (listing==TWSE OR is_fhc_subsidiary=true),Listed or FHC-sub bills: FY2026,entity_type,filings,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-12-16,FI_2025-12,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_fi_scope3_from_fourth_year,TW,TW_IFRS_S1_S2_FI,FSC,src_tw_order_11402739247_fi,金管銀法字第11402739247號令,令第六點,6,Applicability,phased_applicability,FI Scope 3 from fourth FY,FI Scope 3 from fourth FY.,financial_holding_company|bank|bills_finance_company,FI Scope 3 from fourth FY,"entity_type in {financial_holding_company,bank,bills_finance_company} AND years_since_first_tw_ifrs_application >= 4",FI Scope 3 from fourth FY,entity_type,filings,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-12-16,FI_2025-12,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_fi_scope12_assurance,TW,TW_IFRS_S1_S2_FI,FSC,src_tw_order_11402739247_fi,金管銀法字第11402739247號令,令第四點,4,Applicability,phased_applicability,FI Scope 1/2 assurance + Oct fallback,FI Scope 1/2 assurance + Oct fallback.,financial_holding_company|bank|bills_finance_company,FI Scope 1/2 assurance + Oct fallback,fi_tw_ifrs_applied=true,FI Scope 1/2 assurance + Oct fallback,entity_type,filings,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-12-16,FI_2025-12,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_fi_bank_regulation_family,TW,TW_IFRS_S1_S2_FI,FSC,src_tw_bank_annual_report_fl006611,銀行年報應行記載事項準則,第7條第2項／第10條之1,Art.7(2)/10-1,Applicability,phased_applicability,Banks use bank AR family,Banks use bank AR family.,bank,Banks use bank AR family,entity_type==bank,Banks use bank AR family,entity_type,filings,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-12-16,FI_2025-12,2025-12-16,,ACTIVE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_fi_fhc_regulation_family,TW,TW_IFRS_S1_S2_FI,FSC,src_tw_fhc_annual_report_fl006626,金融控股公司年報應行記載事項準則,第7條第2項／第10條之1,Art.7(2)/10-1,Applicability,phased_applicability,FHCs use FHC AR family,FHCs use FHC AR family.,financial_holding_company,FHCs use FHC AR family,entity_type==financial_holding_company,FHCs use FHC AR family,entity_type,filings,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-12-16,FI_2025-12,2025-12-16,,ACTIVE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
