source_id,jurisdiction,authority,source_class,source_type,document_title,official_url,publication_date,effective_date,retrieved_date,version,language,authority_level,authority_rank,status,notes,monitor_enabled,monitor_frequency,last_checked_at,last_successful_fetch_at,last_changed_at,http_etag,http_last_modified,content_hash,fetch_status,fetch_error,consecutive_failures,freshness_status,next_check_at,current_source_version,previous_source_version
src_tw_order_11403856095_securities,TW,FSC,FSC_ORDER,fsc_order,金管證券字第11403856095號令,https://www.sfb.gov.tw/ch/home.jsp?dataserno=202512260004&id=88&mcustomize=lawnews_view.jsp&parentpath=0%2C3,2025-12-26,2025-12-26,2026-08-12,金管證券字第11403856095號,zh-TW,AUTHORITATIVE,20,ACTIVE,High-priority continuous monitoring (Stage 3A.3).,true,high_change_source,,,,,,,,,0,CHECK_DUE,,金管證券字第11403856095號,
src_tw_order_11403856094_recognised,TW,FSC,FSC_ORDER,fsc_order,金管證券字第11403856094號令,https://www.fsc.gov.tw/ch/home.jsp?dataserno=202512260005&dtable=NewsLaw&id=3&mcustomize=lawnew_view.jsp&parentpath=0,2025-12-26,2025-12-26,2026-08-12,金管證券字第11403856094號,zh-TW,AUTHORITATIVE,20,ACTIVE,High-priority continuous monitoring (Stage 3A.3).,true,high_change_source,,,,,,,,,0,CHECK_DUE,,金管證券字第11403856094號,
src_tw_fcm_fin_report_fl021990,TW,FSC,LAW_REGULATION,regulation,期貨商財務報告編製準則,https://law.fsc.gov.tw/LawContent.aspx?id=FL021990,2025-12-24,2025-12-24,2026-08-12,2025-12-24_Art34-1,zh-TW,AUTHORITATIVE,10,ACTIVE,High-priority continuous monitoring (Stage 3A.3).,true,high_change_source,,,,,,,,,0,CHECK_DUE,,2025-12-24_Art34-1,
src_tw_order_11403856096_fcm,TW,FSC,FSC_ORDER,fsc_order,金管證券字第11403856096號令,https://www.fsc.gov.tw/ch/home.jsp?dataserno=202512260003&dtable=NewsLaw&id=3&mcustomize=lawnew_view.jsp&parentpath=0,2025-12-26,2025-12-26,2026-08-12,金管證券字第11403856096號,zh-TW,AUTHORITATIVE,20,ACTIVE,High-priority continuous monitoring (Stage 3A.3).,true,high_change_source,,,,,,,,,0,CHECK_DUE,,金管證券字第11403856096號,
src_tw_tpex_isds_portal,TW,TW official,OFFICIAL_GUIDANCE,official_portal,接軌 IFRS 永續揭露準則專區（ISDS）,https://isds.tpex.org.tw/IFRS/front/#/main/home,,,2026-08-12,portal_or_doc,zh-TW,OFFICIAL_GUIDANCE,40,ACTIVE,,true,normal_regulatory_source,,,,,,,,,0,CHECK_DUE,,portal_or_doc,
src_tw_twse_impl_plan_example,TW,TW official,OFFICIAL_EXAMPLE,official_portal,IFRS 永續揭露準則導入計畫參考範例,https://www.twse.com.tw/market_insights/zh/detail/8a8216d69236c2e30192db1f6c6902fb,,,2026-08-12,portal_or_doc,zh-TW,OFFICIAL_EXAMPLE,50,ACTIVE,,true,normal_regulatory_source,,,,,,,,,0,CHECK_DUE,,portal_or_doc,
src_tw_twse_impl_plan_progress_template,TW,TW official,TWSE_TPEX_OFFICIAL_RULE_OR_ANNOUNCEMENT,official_portal,導入 IFRS 永續揭露準則執行情形進度表,https://twse-regulation.twse.com.tw/TW/GetFile.ashx?FILEID=0000371549,,,2026-08-12,portal_or_doc,zh-TW,AUTHORITATIVE,30,ACTIVE,,true,normal_regulatory_source,,,,,,,,,0,CHECK_DUE,,portal_or_doc,
src_tw_sfb_press_20251028,TW,TW official,EXPLANATORY_MATERIAL,official_portal,金管會年報準則修正新聞稿（2025-10-28）,https://www.sfb.gov.tw/ch/home.jsp?dataserno=202510280004&dtable=News&id=95&mcustomize=news_view.jsp&parentpath=0%2C2,,,2026-08-12,portal_or_doc,zh-TW,EXPLANATORY,60,ACTIVE,,true,normal_regulatory_source,,,,,,,,,0,CHECK_DUE,,portal_or_doc,
src_tw_fsc_roadmap_press_20230817,TW,TW official,EXPLANATORY_MATERIAL,official_portal,金管會接軌 IFRS 永續揭露準則藍圖新聞稿（2023-08-17）,https://www.fsc.gov.tw/ch/home.jsp?dataserno=202308170002&dtable=News&id=96&mcustomize=news_view.jsp&parentpath=0%2C2,,,2026-08-12,portal_or_doc,zh-TW,EXPLANATORY,60,ACTIVE,,true,normal_regulatory_source,,,,,,,,,0,CHECK_DUE,,portal_or_doc,
src_tw_tpex_qa_20250402,TW,TW official,OFFICIAL_GUIDANCE,official_portal,IFRS 永續揭露準則問答集（2025.4.2）,https://isds.tpex.org.tw/download/20250402IFRS%E6%B0%B8%E7%BA%8C%E6%BA%96%E5%89%87%E5%95%8F%E7%AD%94%E9%9B%86.pdf,,,2026-08-12,portal_or_doc,zh-TW,OFFICIAL_GUIDANCE,40,ACTIVE,,true,normal_regulatory_source,,,,,,,,,0,CHECK_DUE,,portal_or_doc,
src_tw_fsc_portal,TW,TW official,EXPLANATORY_MATERIAL,official_portal,金融監督管理委員會全球資訊網,https://www.fsc.gov.tw/,,,2026-08-12,portal_or_doc,zh-TW,EXPLANATORY,60,ACTIVE,,true,high_change_source,,,,,,,,,0,CHECK_DUE,,portal_or_doc,
src_tw_sfb_portal,TW,TW official,EXPLANATORY_MATERIAL,official_portal,證券期貨局全球資訊網,https://www.sfb.gov.tw/,,,2026-08-12,portal_or_doc,zh-TW,EXPLANATORY,60,ACTIVE,,true,high_change_source,,,,,,,,,0,CHECK_DUE,,portal_or_doc,
src_tw_twse_portal,TW,TW official,TWSE_TPEX_OFFICIAL_RULE_OR_ANNOUNCEMENT,official_portal,臺灣證券交易所,https://www.twse.com.tw/,,,2026-08-12,portal_or_doc,zh-TW,AUTHORITATIVE,30,ACTIVE,,true,normal_regulatory_source,,,,,,,,,0,CHECK_DUE,,portal_or_doc,
src_tw_tpex_portal,TW,TW official,TWSE_TPEX_OFFICIAL_RULE_OR_ANNOUNCEMENT,official_portal,證券櫃檯買賣中心,https://www.tpex.org.tw/,,,2026-08-12,portal_or_doc,zh-TW,AUTHORITATIVE,30,ACTIVE,,true,normal_regulatory_source,,,,,,,,,0,CHECK_DUE,,portal_or_doc,
src_tw_moenv_ghg_registry,TW,TW official,OFFICIAL_GUIDANCE,official_portal,環境部溫室氣體排放量盤查登錄及查驗管理資訊平台,https://ghgregistry.moenv.gov.tw/,,,2026-08-12,portal_or_doc,zh-TW,OFFICIAL_GUIDANCE,40,ACTIVE,,true,normal_regulatory_source,,,,,,,,,0,CHECK_DUE,,portal_or_doc,
src_tw_moenv_oaout,TW,TW official,OFFICIAL_GUIDANCE,official_portal,環境部氣候變遷署公開資訊入口,https://oaout.moenv.gov.tw/,,,2026-08-12,portal_or_doc,zh-TW,OFFICIAL_GUIDANCE,40,ACTIVE,,true,normal_regulatory_source,,,,,,,,,0,CHECK_DUE,,portal_or_doc,
src_issb_ifrs_s1_2023,INTL,ISSB/IFRS Foundation,LAW_REGULATION,international_standard_page,IFRS S1 General Requirements,https://www.ifrs.org/issued-standards/ifrs-sustainability-standards-navigator/ifrs-s1-general-requirements/,2023-06-26,2024-01-01,2026-08-12,2023-06,en,AUTHORITATIVE,10,ACTIVE,,true,stable_standard_reference,,,,,,,,,0,CHECK_DUE,,2023-06,
src_issb_ifrs_s2_2023,INTL,ISSB/IFRS Foundation,LAW_REGULATION,international_standard_page,IFRS S2 Climate-related Disclosures,https://www.ifrs.org/issued-standards/ifrs-sustainability-standards-navigator/ifrs-s2-climate-related-disclosures/,2023-06-26,2024-01-01,2026-08-12,2023-06,en,AUTHORITATIVE,10,ACTIVE,,true,stable_standard_reference,,,,,,,,,0,CHECK_DUE,,2023-06,
src_issb_ifrs_s2_ghg_amendments_2025,INTL,ISSB/IFRS Foundation,LAW_REGULATION,amendment_page,Amendments to Greenhouse Gas Emissions Disclosures (IFRS S2),https://www.ifrs.org/projects/completed-projects/2025/amendments-to-disclosure-of-greenhouse-gas-emissions-s2/,2025-12-01,2027-01-01,2026-08-12,2025-12,en,AUTHORITATIVE,10,ACTIVE,,true,stable_standard_reference,,,,,,,,,0,CHECK_DUE,,2025-12,
src_issb_s1_s2_mapping_education,INTL,ISSB/IFRS Foundation,OFFICIAL_GUIDANCE,official_education_pdf,Education material—Applying IFRS S1 when reporting only climate-related disclosures in accordance with IFRS S2,https://www.ifrs.org/content/dam/ifrs/supporting-implementation/issb-standards/applying-ifrs-s1-reporting-only-climate-related-disclosures-accordance-ifrs-s2.pdf,,,2026-08-12,education_mapping,en,OFFICIAL_GUIDANCE,40,ACTIVE,Public paragraph anchors only; not full Standard text.,true,stable_standard_reference,,,,,,,,,0,CHECK_DUE,,education_mapping,
src_issb_knowledge_hub,INTL,ISSB/IFRS Foundation,OFFICIAL_GUIDANCE,official_portal,IFRS Sustainability Knowledge Hub / resources,https://www.ifrs.org/sustainability/knowledge-hub/ifrs-resources/,,,2026-08-12,portal_live,en,OFFICIAL_GUIDANCE,40,ACTIVE,,true,stable_standard_reference,,,,,,,,,0,CHECK_DUE,,portal_live,
src_issb_sasb_hub,INTL,ISSB/IFRS Foundation,OFFICIAL_GUIDANCE,official_portal,SASB Standards portal,https://www.ifrs.org/issued-standards/sasb-standards/,,,2026-08-12,portal_live,en,AUTHORITATIVE,40,ACTIVE,,true,stable_standard_reference,,,,,,,,,0,CHECK_DUE,,portal_live,
src_ifrs_org_portal,INTL,IFRS Foundation,OFFICIAL_GUIDANCE,official_portal,IFRS Foundation,https://www.ifrs.org/,,,2026-08-12,portal_live,en,AUTHORITATIVE,10,ACTIVE,,true,stable_standard_reference,,,,,,,,,0,CHECK_DUE,,portal_live,
